Title,Year,Rating
Eternal Sunshine of the Spotless Mind,2004,8.3
Star Wars,1977,8.6
Sicario,2015,7.6
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1
No Country for Old Men,2007,8.2
Léon,1994,8.5
Guardians of the Galaxy,2014,8.0
Stand by Me,1986,8.1
In Bruges,2008,7.9
Alien,1979,8.5
Rear Window,1954,8.5
Gone Girl,2014,8.1
Green Book,2018,8.2
Catch Me If You Can,2002,8.1
Little Women,2019,7.8
Kick-Ass,2010,7.6
Back to the Future,1985,8.5
Saving Private Ryan,1998,8.6
Shutter Island,2010,8.2
The Big Short,2015,7.8
The Fifth Element,1997,7.6
La La Land,2016,8.0
The Green Mile,1999,8.6
Apocalypse Now,1979,8.5
Terminator 2: Judgment Day,1991,8.6
Harry Potter and the Goblet of Fire,2005,7.7
Sen to Chihiro no kamikakushi,2001,8.6
The Princess Bride,1987,8.0
CODA,2021,8.0
Avengers: Infinity War,2018,8.4
Detachment,2011,7.7
1917,2019,8.2
The Dark Knight Rises,2012,8.4
The Grand Budapest Hotel,2014,8.1
Dunkirk,2017,7.8
The Martian,2015,8.0
Rogue One,2016,7.8
Blade Runner,1982,8.1
Deadpool,2016,8.0
"Three Billboards Outside Ebbing, Missouri",2017,8.1
Hidden Figures,2016,7.8
Hacksaw Ridge,2016,8.1
The Lion King,1994,8.5
Wo hu cang long,2000,7.9
Ford v Ferrari,2019,8.1
Arrival,II) (2016,7.9
The Shining,1980,8.4
Psycho,1960,8.5
Superbad,2007,7.6
The Sixth Sense,1999,8.2
2001: A Space Odyssey,1968,8.3
Braveheart,1995,8.4
The Big Lebowski,1998,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,8.1
Oldeuboi,2003,8.4
A Clockwork Orange,1971,8.3
The Usual Suspects,1995,8.5
Drive,I) (2011,7.8
Spider-Man: Into the Spider-Verse,2018,8.4
Her,2013,8.0
There Will Be Blood,2007,8.2
The Irishman,2019,7.8
Donnie Darko,2001,8.0
Blazing Saddles,1974,7.7
The Exorcist,1973,8.1
Call Me by Your Name,2017,7.8
Indiana Jones and the Last Crusade,1989,8.2
Memento,2000,8.4
The Avengers,2012,8.0
Idi i smotri,1985,8.4
Jojo Rabbit,2019,7.9
Witness for the Prosecution,1957,8.4
The Terminator,1984,8.1
Reservoir Dogs,1992,8.3
Ferris Bueller's Day Off,1986,7.8
The Lord of the Rings: The Two Towers,2002,8.8
Harry Potter and the Prisoner of Azkaban,2004,7.9
The Count of Monte Cristo,2002,7.7
Cidade de Deus,2002,8.6
Wind River,2017,7.7
Snatch,2000,8.2
Scarface,1983,8.3
Cast Away,2000,7.8
The Hateful Eight,2015,7.8
The Notebook,2004,7.8
Aliens,1986,8.4
The Perks of Being a Wallflower,2012,7.9
Iron Man,2008,7.9
La vie d'Adèle,2013,7.7
300,2006,7.6
Edge of Tomorrow,2014,7.9
Zootopia,2016,8.0
Dead Poets Society,1989,8.1
Deadpool 2,2018,7.7
Sin City,2005,8.0
Batman Begins,2005,8.2
Jagten,2012,8.3
The Hobbit: An Unexpected Journey,2012,7.8
Ratatouille,2007,8.1
"Il buono, il brutto, il cattivo",1966,8.8
Hauru no ugoku shiro,2004,8.2
The Pianist,2002,8.5
Kill Bill: Vol. 1,2003,8.2
Fargo,1996,8.1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
Star Wars: Episode VI - Return of the Jedi,1983,8.3
Mission: Impossible - Fallout,2018,7.7
True Romance,1993,7.9
Full Metal Jacket,1987,8.3
Spotlight,I) (2015,8.1
Almost Famous,2000,7.9
The Father,I) (2020,8.2
La vita è bella,1997,8.6
Platoon,1986,8.1
The Truman Show,1998,8.2
American History X,1998,8.5
Kingsman: The Secret Service,2014,7.7
Jaws,1975,8.1
Scent of a Woman,1992,8.0
Zodiac,2007,7.7
A Bronx Tale,1993,7.8
Watchmen,2009,7.6
Ah-ga-ssi,2016,8.1
Into the Wild,2007,8.1
Magnolia,1999,8.0
Apocalypto,2006,7.8
Ex Machina,2014,7.7
Hamilton,2020,8.4
En man som heter Ove,2015,7.7
The Social Network,2010,7.8
Dark City,1998,7.6
Airplane!,1980,7.7
Kimi no na wa.,2016,8.4
Argo,2012,7.7
The Last of the Mohicans,1992,7.7
Logan,2017,8.1
Mulholland Dr.,2001,7.9
Crash,I) (2004,7.7
The Intouchables,2011,8.5
Die Hard,1988,8.2
Bohemian Rhapsody,2018,7.9
Ocean's Eleven,2001,7.7
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7
Primal Fear,1996,7.7
Star Wars: Episode VII - The Force Awakens,2015,7.8
The Revenant,2015,8.0
Black Hawk Down,2001,7.7
Tangled,2010,7.7
Casino,1995,8.2
Predator,1987,7.8
Boogie Nights,1997,7.9
The Imitation Game,2014,8.0
Stardust,2007,7.6
Shrek,2001,7.9
The Thing,1982,8.2
Thor: Ragnarok,2017,7.9
Casablanca,1942,8.5
"Lock, Stock and Two Smoking Barrels",1998,8.2
Star Trek,2009,7.9
Remember the Titans,2000,7.8
Lost in Translation,2003,7.7
Coco,I) (2017,8.4
Amadeus,1984,8.4
Toy Story,1995,8.3
The Empire Strikes Back,1980,8.7
Office Space,1999,7.6
Brokeback Mountain,2005,7.7
A Star Is Born,2018,7.6
About Time,I) (2013,7.8
Atonement,2007,7.8
12 Years a Slave,2013,8.1
Minority Report,2002,7.6
Finding Nemo,2003,8.2
Once Upon a Time in America,1984,8.3
Training Day,2001,7.7
The Sound of Music,1965,8.1
Casino Royale,2006,8.0
L.A. Confidential,1997,8.2
Inside Out,I) (2015,8.1
Harry Potter and the Deathly Hallows: Part 1,2010,7.7
All Quiet on the Western Front,1930,8.1
Ghostbusters,1984,7.8
Room,I) (2015,8.1
Once Upon a Time in the West,1968,8.5
A Beautiful Mind,2001,8.2
Trainspotting,1996,8.1
The Wizard of Oz,1939,8.1
Guardians of the Galaxy Vol. 2,2017,7.6
Network,1976,8.1
The Curious Case of Benjamin Button,2008,7.8
The Fugitive,1993,7.8
Manchester by the Sea,2016,7.8
American Gangster,2007,7.8
Man on Fire,2004,7.7
Road to Perdition,2002,7.7
A Few Good Men,1992,7.7
Unforgiven,1992,8.2
E.T. the Extra-Terrestrial,1982,7.9
The Deer Hunter,1978,8.1
Pan's Labyrinth,2006,8.2
Verdens verste menneske,2021,7.8
Gone with the Wind,1939,8.2
Dog Day Afternoon,1975,8.0
Saw,2004,7.6
Little Miss Sunshine,2006,7.8
Hell or High Water,II) (2016,7.6
Mystic River,2003,7.9
Nightcrawler,2014,7.8
V for Vendetta,2005,8.2
Druk,2020,7.7
Rain Man,1988,8.0
Home Alone,1990,7.7
Inside Man,2006,7.6
The Blind Side,2009,7.6
The Incredibles,2004,8.0
The Untouchables,1987,7.8
Salinui chueok,2003,8.1
Children of Men,2006,7.9
Star Wars: Episode III - Revenge of the Sith,2005,7.6
As Good as It Gets,1997,7.7
Before Sunrise,1995,8.1
Dark Waters,2019,7.6
Misery,1990,7.8
Searching,III) (2018,7.6
Laura,1944,7.9
Kung Fu Panda,2008,7.6
Charade,1963,7.9
The Nightmare Before Christmas,1993,7.9
3 Idiots,2009,8.4
The Boondock Saints,1999,7.7
Dances with Wolves,1990,8.0
Warrior,2011,8.2
WALL·E,2008,8.4
Taken,I) (2008,7.8
Doctor Zhivago,1965,7.9
Lawrence of Arabia,1962,8.3
Silver Linings Playbook,2012,7.7
Le fabuleux destin d'Amélie Poulain,2001,8.3
Slumdog Millionaire,2008,8.0
My Cousin Vinny,1992,7.6
Up,2009,8.3
The Sting,1973,8.3
The Quiet Man,1952,7.7
(500) Days of Summer,2009,7.7
"Monsters, Inc.",2001,8.1
How to Train Your Dragon,2010,8.1
The Third Man,1949,8.1
Halloween,1978,7.7
Wonder,I) (2017,7.9
In the Heat of the Night,1967,7.9
Skyfall,2012,7.8
Willy Wonka & the Chocolate Factory,1971,7.8
Chinatown,1974,8.2
The Sandlot,1993,7.8
Captain America: Civil War,2016,7.8
Boyz n the Hood,1991,7.8
The Game,1997,7.7
The Girl with the Dragon Tattoo,2011,7.8
Blue Velvet,1986,7.7
Ben-Hur,1959,8.1
RoboCop,1987,7.6
Twelve Monkeys,1995,8.0
Gone Baby Gone,2007,7.6
Shichinin no samurai,1954,8.6
The Blues Brothers,1980,7.9
Million Dollar Baby,2004,8.1
Mary Poppins,1964,7.8
Der Untergang,2004,8.2
The Lives of Others,2006,8.4
Some Like It Hot,1959,8.2
Soul,2020,8.0
The Color Purple,1985,7.7
The Hobbit: The Desolation of Smaug,2013,7.8
Hot Fuzz,2007,7.8
The Lego Movie,2014,7.7
Fantastic Mr. Fox,2009,7.9
First Blood,1982,7.7
Groundhog Day,1993,8.1
Y tu mamá también,2001,7.7
Raging Bull,1980,8.2
Rush,I) (2013,8.1
Dallas Buyers Club,2013,7.9
The Pursuit of Happyness,2006,8.0
Aladdin,1992,8.0
Beauty and the Beast,1991,8.0
Planet of the Apes,1968,8.0
Big Hero 6,2014,7.8
Moon,2009,7.8
It's a Wonderful Life,1946,8.6
Spartacus,1960,7.9
Blood Diamond,2006,8.0
Moneyball,2011,7.6
Marriage Story,2019,7.9
Life of Pi,2012,7.9
Hotaru no haka,1988,8.5
Thirteen Lives,2022,7.8
Stagecoach,1939,7.8
Mononoke-hime,1997,8.3
The Machinist,2004,7.7
Gravity,2013,7.7
Big Fish,2003,8.0
Midnight in Paris,2011,7.7
The Bourne Identity,2002,7.9
Evil Dead II,1987,7.7
Portrait de la jeune fille en feu,2019,8.1
Incendies,2010,8.3
Paddington 2,2017,7.8
X-Men: Days of Future Past,2014,7.9
What's Eating Gilbert Grape,1993,7.7
The Fly,1986,7.6
Ang-ma-reul bo-at-da,2010,7.8
The Butterfly Effect,2004,7.6
X: First Class,2011,7.7
The Magnificent Seven,1960,7.7
Shaun of the Dead,2004,7.9
Coraline,2009,7.7
Citizen Kane,1941,8.3
Deliverance,1972,7.7
The Fighter,I) (2010,7.8
Gattaca,1997,7.8
Mr. Nobody,2009,7.8
The Graduate,1967,8.0
Toy Story 4,2019,7.7
Fa yeung nin wah,2000,8.1
The Wrestler,2008,7.9
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.2
Walk the Line,2005,7.8
"South Park: Bigger, Longer & Uncut",1999,7.7
Mulan,1998,7.6
Capharnaüm,2018,8.4
Being John Malkovich,1999,7.7
The Last Samurai,2003,7.8
Despicable Me,2010,7.6
Gran Torino,2008,8.1
Eastern Promises,2007,7.6
Metropolis,1927,8.3
Tonari no Totoro,1988,8.1
The Elephant Man,1980,8.2
JFK,1991,8.0
Captain Fantastic,2016,7.8
The Thin Red Line,1998,7.6
Captain Phillips,2013,7.8
Sound of Metal,2019,7.7
The Ten Commandments,1956,7.9
Captain America: The Winter Soldier,2014,7.8
Judgment at Nuremberg,1961,8.3
Drishyam 2,2022,8.2
Awakenings,1990,7.8
Do the Right Thing,1989,8.0
Philadelphia,1993,7.7
La montaña sagrada,1973,7.8
Toy Story 3,2010,8.3
Midnight Cowboy,1969,7.8
Sunrise: A Song of Two Humans,1927,8.1
Edward Scissorhands,1990,7.9
The Longest Day,1962,7.7
3:10 to Yuma,2007,7.7
District 9,2009,7.9
Pâfekuto burû,1997,8.0
Lion,2016,8.0
Who Framed Roger Rabbit,1988,7.7
True Grit,2010,7.6
Young Frankenstein,1974,8.0
The Boy in the Striped Pajamas,2008,7.7
The King's Speech,2010,8.0
Ip Man,2008,8.0
What We Do in the Shadows,2014,7.6
Monty Python and the Holy Grail,1975,8.2
Hachi: A Dog's Tale,2009,8.1
Wreck-It Ralph,2012,7.7
Ran,1985,8.2
Boyhood,I) (2014,7.9
Anatomy of a Murder,1959,8.0
Straight Outta Compton,2015,7.8
Empire of the Sun,1987,7.7
Nuovo Cinema Paradiso,1988,8.5
Contratiempo,2016,8.0
Glory,1989,7.8
Apollo 13,I) (1995,7.7
Star Trek Into Darkness,2013,7.7
La piel que habito,2011,7.6
"O Brother, Where Art Thou?",2000,7.7
Changeling,2008,7.8
Barry Lyndon,1975,8.1
Naked,1993,7.7
Singin' in the Rain,1952,8.3
Lethal Weapon,1987,7.6
Rosemary's Baby,1968,8.0
Glengarry Glen Ross,1992,7.7
Back to the Future Part II,1989,7.8
Cool Hand Luke,1967,8.1
Moonrise Kingdom,2012,7.8
The Theory of Everything,2014,7.7
Akira,1988,8.0
The Others,2001,7.6
End of Watch,2012,7.6
Serbuan maut,2011,7.6
Brazil,1985,7.9
The Trial of the Chicago 7,2020,7.7
Before Sunset,2004,8.1
The Mitchells vs the Machines,2021,7.6
Clerks,1994,7.7
When Harry Met Sally...,1989,7.7
This Is Spinal Tap,1984,7.9
The Royal Tenenbaums,2001,7.6
The Apartment,1960,8.3
The Fault in Our Stars,2014,7.7
Fiddler on the Roof,1971,8.0
La haine,1995,8.1
"Paris, Texas",1984,8.1
Sunset Blvd.,1950,8.4
Gandhi,1982,8.0
Serenity,2005,7.8
Stalker,1979,8.1
Das Boot,1981,8.4
Fried Green Tomatoes,1991,7.7
Brief Encounter,1945,8.0
El secreto de sus ojos,2009,8.2
The Great Escape,1963,8.2
The Maltese Falcon,1941,8.0
Sense and Sensibility,1995,7.7
Adaptation.,2002,7.7
Ikiru,1952,8.3
The Birds,1963,7.6
Mad Max 2,1981,7.6
Life of Brian,1979,8.0
Relatos salvajes,2014,8.1
The Jungle Book,1967,7.6
Kill Bill: Vol. 2,2004,8.0
Butch Cassidy and the Sundance Kid,1969,8.0
Black Narcissus,1947,7.7
Dogville,2003,8.0
Toy Story 2,1999,7.9
Jai Bhim,2021,8.8
Bãhubali: The Beginning,2015,8.0
Dawn of the Planet of the Apes,2014,7.6
North by Northwest,1959,8.3
Mississippi Burning,1988,7.8
The Naked Gun: From the Files of Police Squad!,1988,7.6
Hotel Rwanda,2004,8.1
The Man from Earth,2007,7.9
Star Trek II: The Wrath of Khan,1982,7.7
The French Connection,1971,7.7
The King of Comedy,1982,7.8
The Conversation,1974,7.8
The Iron Giant,1999,8.1
The Last Picture Show,1971,8.0
The Fall,I) (2006,7.8
Hunt for the Wilderpeople,2016,7.8
Snow White and the Seven Dwarfs,1937,7.6
Cinderella Man,2005,8.0
The Bourne Supremacy,2004,7.7
The Remains of the Day,1993,7.8
Koe no katachi,2016,8.1
Letters from Iwo Jima,2006,7.9
Goldfinger,1964,7.7
My Fair Lady,1964,7.8
The Thin Man,1934,7.9
Det sjunde inseglet,1957,8.1
Before Midnight,2013,7.9
Män som hatar kvinnor,2009,7.8
Donnie Brasco,1997,7.7
Lucky Number Slevin,2006,7.7
Die Hard with a Vengeance,1995,7.6
Chung Hing sam lam,1994,8.0
How to Train Your Dragon 2,2014,7.8
The Wild Bunch,1969,7.9
A Streetcar Named Desire,1951,7.9
Flipped,I) (2010,7.7
The Bridge on the River Kwai,1957,8.2
Nosferatu,1922,7.9
Rio Bravo,1959,8.0
In the Name of the Father,1993,8.1
Carlito's Way,1993,7.9
Breaking the Waves,1996,7.8
The Great Dictator,1940,8.4
Ying xiong,2002,7.9
Roma,2018,7.7
Isle of Dogs,2018,7.8
The Dirty Dozen,1967,7.7
Rebecca,1940,8.1
Malcolm X,1992,7.7
Match Point,2005,7.6
The Last Emperor,1987,7.7
Låt den rätte komma in,2008,7.9
Kung fu,2004,7.7
Ordinary People,1980,7.7
The Artist,I) (2011,7.9
Sling Blade,1996,8.0
Der Name der Rose,1986,7.7
The Day the Earth Stood Still,1951,7.8
Serpico,1973,7.7
Paths of Glory,1957,8.4
The Bourne Ultimatum,2007,8.0
Gake no ue no Ponyo,2008,7.6
Serbuan maut 2: Berandal,2014,7.9
Annie Hall,1977,8.0
Dirty Harry,1971,7.7
Papillon,1973,8.0
Per un pugno di dollari,1964,7.9
All About Eve,1950,8.2
What Ever Happened to Baby Jane?,1962,8.0
My Left Foot: The Story of Christy Brown,1989,7.8
All the President's Men,1976,7.9
Kôkaku kidôtai,1995,7.9
Majo no takkyûbin,1989,7.8
Bound by Honor,1993,7.9
It Happened One Night,1934,8.1
Jodaeiye Nader az Simin,2011,8.3
From Here to Eternity,1953,7.6
On the Waterfront,1954,8.1
Kantara,2022,8.3
Cabaret,1972,7.8
Seppuku,1962,8.6
Persona,1966,8.1
After Hours,I) (1985,7.6
The Man Who Shot Liberty Valance,1962,8.1
Being There,1979,8.0
The Searchers,1956,7.9
Billy Elliot,2000,7.7
La grande bellezza,2013,7.7
Dancer in the Dark,2000,7.9
Seven Pounds,2008,7.6
The World's Fastest Indian,2005,7.8
Ray,I) (2004,7.7
Miller's Crossing,1990,7.7
Once,I) (2007,7.8
Kramer vs. Kramer,1979,7.8
Happiness,1998,7.7
M - Eine Stadt sucht einen Mörder,1931,8.3
Bonnie and Clyde,1967,7.7
Pink Floyd: The Wall,1982,8.0
The Insider,1999,7.8
La migliore offerta,2013,7.8
October Sky,1999,7.8
Manbiki kazoku,2018,7.9
Amores perros,2000,8.1
King Kong,1933,7.9
The Manchurian Candidate,1962,7.9
Tumbbad,2018,8.2
Enter the Dragon,1973,7.6
Inherit the Wind,1960,8.1
8½,1963,8.0
Per qualche dollaro in più,1965,8.2
The Killing Fields,1984,7.8
The Last King of Scotland,2006,7.6
Sing Street,2016,7.9
50/50,2011,7.6
The Bridges of Madison County,1995,7.6
Rebel Without a Cause,1955,7.6
Mommy,I) (2014,8.0
High Noon,1952,8.0
21 Grams,2003,7.6
This Is England,2006,7.7
The Philadelphia Story,1940,7.9
Trois couleurs: Bleu,1993,7.9
Paprika,2006,7.7
Dawn of the Dead,1978,7.8
Roman Holiday,1953,8.0
Rushmore,1998,7.6
Les quatre cents coups,1959,8.1
Night of the Living Dead,1968,7.8
Der Himmel über Berlin,1987,8.0
I Am Sam,2001,7.6
Rashômon,1950,8.2
Double Indemnity,1944,8.3
The Verdict,1982,7.7
Sita Ramam,2022,8.6
All That Jazz,1979,7.8
Tenkû no shiro Rapyuta,1986,8.0
Baahubali 2: The Conclusion,2017,8.2
Kaze tachinu,2013,7.7
The Outlaw Josey Wales,1976,7.8
Who's Afraid of Virginia Woolf?,1966,8.0
The Right Stuff,1983,7.8
Kaze no tani no Naushika,1984,8.0
Belle de jour,1967,7.7
Philomena,2013,7.6
Solaris,1972,8.0
The Night of the Hunter,1955,8.0
La dolce vita,1960,8.0
WolfWalkers,2020,8.0
Harold and Maude,1971,7.9
Taare Zameen Par,2007,8.3
Klaus,2019,8.2
Ed Wood,1994,7.8
Loving Vincent,2017,7.8
The Big Sleep,1946,7.9
The Best Years of Our Lives,1946,8.1
Gangs of Wasseypur,2012,8.2
Patton,1970,7.9
Togo,2019,7.9
Dial M for Murder,1954,8.2
The Grapes of Wrath,1940,8.1
Rope,1948,7.9
The Man Who Would Be King,1975,7.8
The African Queen,1951,7.7
Kubo and the Two Strings,2016,7.7
Cat on a Hot Tin Roof,1958,7.9
The Hustler,1961,8.0
Mary and Max.,2009,8.1
Touch of Evil,1958,8.0
Zulu,1964,7.7
Todo sobre mi madre,1999,7.8
Paper Moon,1973,8.1
Sabrina,1954,7.6
Vikram,2022,8.3
Modern Times,1936,8.5
Guess Who's Coming to Dinner,1967,7.8
Notorious,1946,7.9
Madeo,2009,7.8
Trois couleurs: Rouge,1994,8.1
The Straight Story,1999,8.0
Beasts of No Nation,2015,7.7
Festen,1998,8.1
Mou gaan dou,2002,8.0
Das Cabinet des Dr. Caligari,1920,8.0
Yôjinbô,1961,8.2
Ladri di biciclette,1948,8.3
Badlands,1973,7.7
The Day of the Jackal,1973,7.8
Kaithi,2019,8.5
Days of Heaven,1978,7.8
Lola rennt,1998,7.7
Gaslight,1944,7.8
A Christmas Story,1983,7.9
United 93,2006,7.6
Ajeossi,2010,7.7
Tengoku to jigoku,1963,8.4
K.G.F: Chapter 2,2022,8.3
Drishyam,2015,8.2
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.1
The Treasure of the Sierra Madre,1948,8.2
PK,2014,8.1
Fantasia,1940,7.7
Nebraska,2013,7.7
Stalag 17,1953,8.0
La planète sauvage,1973,7.7
Waking Life,2001,7.7
The Magdalene Sisters,2002,7.7
Me and Earl and the Dying Girl,2015,7.7
Zerkalo,1975,8.0
Barton Fink,1991,7.6
Freaks,1932,7.8
Zwartboek,2006,7.7
Duck Soup,1933,7.8
Finding Neverland,2004,7.7
Mimi wo sumaseba,1995,7.9
Abre los ojos,1997,7.7
Strangers on a Train,1951,7.9
The Taking of Pelham One Two Three,1974,7.6
Hamlet,1996,7.7
East of Eden,1955,7.8
The Asphalt Jungle,1950,7.8
Pride,I) (2014,7.8
Amour,2012,7.9
Chugyeokja,2008,7.8
In Cold Blood,1967,7.9
Manhattan,1979,7.8
Once Were Warriors,1994,7.9
Short Cuts,1993,7.7
À bout de souffle,1960,7.7
Good Bye Lenin!,2003,7.7
25th Hour,2002,7.6
Tropa de Elite,2007,8.0
Harvey,1950,7.9
Short Term 12,2013,7.9
Z,1969,8.2
Miracle in Cell No. 7,2019,8.2
Il conformista,1970,7.9
Un long dimanche de fiançailles,2004,7.6
Hannah and Her Sisters,1986,7.8
The Lion in Winter,1968,7.9
A Man for All Seasons,1966,7.7
In America,2002,7.7
Control,2007,7.6
Spoorloos,1988,7.7
Fanny och Alexander,1982,8.1
Mildred Pierce,1945,7.9
Song of the Sea,2014,8.0
The Red Shoes,1948,8.1
Dilwale Dulhania Le Jayenge,1995,8.0
Zindagi Na Milegi Dobara,2011,8.2
Shadow of a Doubt,1943,7.8
The Message,1976,8.1
La leggenda del pianista sull'oceano,1998,8.0
Dangal,2016,8.3
City Lights,1931,8.5
Kurenai no buta,1992,7.7
Hable con ella,2002,7.9
Frankenstein,1931,7.8
Jûbê ninpûchô,1993,7.8
Lat sau san taam,1992,7.7
Chun gwong cha sit,1997,7.7
Red River,1948,7.8
The Killing,1956,7.9
Kaguya-hime no monogatari,2013,8.0
To Have and Have Not,1944,7.8
Arsenic and Old Lace,1944,7.9
Under sandet,2015,7.8
Lilja 4-ever,2002,7.8
Il gattopardo,1963,8.0
"Swades: We, the People",2004,8.2
Tôkyô monogatari,1953,8.2
Bacheha-Ye aseman,1997,8.2
A Woman Under the Influence,1974,8.1
La battaglia di Algeri,1966,8.1
The Adventures of Robin Hood,1938,7.9
La double vie de Véronique,1991,7.7
Invasion of the Body Snatchers,1956,7.7
Omoide no Marnie,2014,7.7
Le Petit Prince,2015,7.7
Bajrangi Bhaijaan,2015,8.1
K.G.F: Chapter 1,2018,8.2
Smultronstället,1957,8.1
Perfetti sconosciuti,2016,7.7
Secrets & Lies,1996,8.0
Diarios de motocicleta,2004,7.7
Das weiße Band - Eine deutsche Kindergeschichte,2009,7.8
Le Samouraï,1967,8.0
Pather Panchali,1955,8.3
Taeksi woonjunsa,2017,7.9
Kakushi-toride no san-akunin,1958,8.1
Un prophète,2009,7.8
Les yeux sans visage,1960,7.6
Le scaphandre et le papillon,2007,8.0
Out of the Past,1947,8.0
The Circus,1928,8.1
His Girl Friday,1940,7.8
You Can't Take It with You,1938,7.8
My Name Is Khan,2010,7.9
Kal Ho Naa Ho,2003,7.9
Kagemusha,1980,7.9
Yeopgijeogin geunyeo,2001,8.0
Andrei Rublev,1966,8.1
"Aguirre, der Zorn Gottes",1972,7.8
Gegen die Wand,2004,7.9
Jab We Met,2007,7.9
Andhadhun,2018,8.2
Batman: Mask of the Phantasm,1993,7.8
Le salaire de la peur,1953,8.2
To Be or Not to Be,1942,8.2
Dersu Uzala,1975,8.2
Fitzcarraldo,1982,8.0
Yi yi,2000,8.1
Persepolis,2007,8.0
Ba wang bie ji,1993,8.1
The Caine Mutiny,1954,7.7
Scarface,1932,7.7
Cape Fear,1962,7.7
The Kid,1921,8.3
Underground,1995,8.1
Mr. Smith Goes to Washington,1939,8.1
Frost/Nixon,2008,7.7
Yume,1990,7.7
Shine,1996,7.6
Les parapluies de Cherbourg,1964,7.8
Bringing Up Baby,1938,7.8
Forushande,2016,7.7
Ondskan,2003,7.7
The Odd Couple,1968,7.6
Cowboy Bebop: Tengoku no tobira,2001,7.8
Nostalgia,1983,8.0
Sholay,1975,8.1
The Lady Vanishes,1938,7.8
Vikram Vedha,2017,8.2
Amarcord,1973,7.9
Dip huet seung hung,1989,7.8
Viskningar och rop,1972,8.0
Lagaan: Once Upon a Time in India,2001,8.1
Hedwig and the Angry Inch,2001,7.7
Mar adentro,I) (2004,8.0
777 Charlie,2022,8.8
"Quo vadis, Aida?",2020,8.0
Night on Earth,1991,7.7
"I, Daniel Blake",2016,7.8
The General,1926,8.1
Dare mo shiranai,2004,8.0
The Invisible Man,1933,7.6
Bride of Frankenstein,1935,7.8
The Broken Circle Breakdown,2012,7.7
Kokuhaku,2010,7.7
La Strada,1954,8.0
Sleuth,1972,8.0
Sardar Udham,2021,8.4
Ayla: The Daughter of War,2017,8.3
The Big Heat,1953,7.9
Au revoir les enfants,1987,8.0
Kumonosu-jô,1957,8.1
La passion de Jeanne d'Arc,1928,8.2
Ôkami kodomo no Ame to Yuki,2012,8.1
The Lost Weekend,1945,7.9
Sacrifice,1986,7.9
Wait Until Dark,1967,7.7
Key Largo,1948,7.7
In a Lonely Place,1950,7.9
Les diaboliques,1955,8.1
The Lunchbox,2013,7.8
Les triplettes de Belleville,2003,7.7
Shershaah,2021,8.3
Bom yeoreum gaeul gyeoul geurigo bom,2003,8.0
Ivanovo detstvo,1962,8.0
Les choristes,2004,7.8
Sweet Smell of Success,1957,8.0
Bronenosets Potemkin,1925,7.9
